nvisits,nhome_visits,region,year,category
6420252,476433,Автономна pеспубліка Крим,2009,Всього
10034814,778771,Вінницька,2009,Всього
6379718,413418,Волинська,2009,Всього
6404827,408702,Дніпропетровська,2009,Всього
9206864,598415,Донецька,2009,Всього
7659907,521652,Житомирська,2009,Всього
8393656,1044670,Закарпатська,2009,Всього
5097027,349950,Запорізька,2009,Всього
8346759,886457,Івано-Франківська,2009,Всього
11035820,710426,Київська,2009,Всього
4412873,249444,Кіровоградська,2009,Всього
4198920,303188,Луганська,2009,Всього
9718705,826535,Львівська,2009,Всього
6001065,360115,Миколаївська,2009,Всього
7049030,544285,Одеська,2009,Всього
7758119,584009,Полтавська,2009,Всього
6012762,465483,Рівненська,2009,Всього
6302398,558711,Сумська,2009,Всього
8999630,834832,Тернопільська,2009,Всього
12114474,882234,Харківська,2009,Всього
4197884,291699,Херсонська,2009,Всього
7398500,480686,Хмельницька,2009,Всього
6971608,517241,Черкаська,2009,Всього
5004803,406432,Чернівецька,2009,Всього
5115452,304247,Чернігівська,2009,Всього
0,0,м.Київ,2009,Всього
0,0,м.Севастополь,2009,Всього
1577743,260751,Автономна pеспубліка Крим,2009,в т.ч. в сільскі жителі
796456,115599,Вінницька,2009,в т.ч. в сільскі жителі
3749090,181203,Волинська,2009,в т.ч. в сільскі жителі
3723464,218673,Дніпропетровська,2009,в т.ч. в сільскі жителі
2076305,157514,Донецька,2009,в т.ч. в сільскі жителі
4279977,265154,Житомирська,2009,в т.ч. в сільскі жителі
5197462,629663,Закарпатська,2009,в т.ч. в сільскі жителі
2393411,169257,Запорізька,2009,в т.ч. в сільскі жителі
5136626,518274,Івано-Франківська,2009,в т.ч. в сільскі жителі
3911278,275124,Київська,2009,в т.ч. в сільскі жителі
2222623,107891,Кіровоградська,2009,в т.ч. в сільскі жителі
1391907,82395,Луганська,2009,в т.ч. в сільскі жителі
5873553,485295,Львівська,2009,в т.ч. в сільскі жителі
1080187,165961,Миколаївська,2009,в т.ч. в сільскі жителі
4233097,266432,Одеська,2009,в т.ч. в сільскі жителі
4287223,323070,Полтавська,2009,в т.ч. в сільскі жителі
3936176,258695,Рівненська,2009,в т.ч. в сільскі жителі
840213,137201,Сумська,2009,в т.ч. в сільскі жителі
5992294,529677,Тернопільська,2009,в т.ч. в сільскі жителі
1384462,245357,Харківська,2009,в т.ч. в сільскі жителі
1059336,149979,Херсонська,2009,в т.ч. в сільскі жителі
4285139,250768,Хмельницька,2009,в т.ч. в сільскі жителі
4090763,303609,Черкаська,2009,в т.ч. в сільскі жителі
3824009,307330,Чернівецька,2009,в т.ч. в сільскі жителі
2548173,153405,Чернігівська,2009,в т.ч. в сільскі жителі
0,0,м.Київ,2009,в т.ч. в сільскі жителі
0,0,м.Севастополь,2009,в т.ч. в сільскі жителі
0,0,Автономна pеспубліка Крим,2020,Всього
4771413,198282,Вінницька,2020,Всього
3246344,120333,Волинська,2020,Всього
