Region,year,polluted_dumps,not_cleaned_dumps,dumps_not_cleaned_enough,num_clearing_plants
Херсонська,2005,3,2,1,99
Хмельницька,2005,6,0,6,97
Черкаська,2005,23,7,16,180
Чернівецька,2005,9,7,3,63
Чернігівська,2005,30,–,30,66
Автономна Республіка Крим,2006,80,8,72,384
Вінницька,2006,2,0,2,544
Волинська,2006,1,1,0,77
Дніпропетровська,2006,660,176,484,1028
Донецька,2006,1374,780,594,1485
Житомирська,2006,23,1,22,110
Закарпатська,2006,13,1,12,65
Запорізька,2006,457,305,152,374
Івано-Франківська,2006,26,0,26,132
Київська,2006,16,5,11,168
Кіровоградська,2006,21,0,21,165
Луганська,2006,222,41,181,655
Львівська,2006,180,5,175,329
Миколаївська,2006,29,1,28,120
Одеська,2006,183,46,137,278
Полтавська,2006,5,–,5,155
Рівненська,2006,25,2,23,115
Сумська,2006,10,0,10,128
Тернопільська,2006,3,1,2,55
Харківська,2006,20,12,8,516
Херсонська,2006,28,2,26,100
Хмельницька,2006,7,–,7,93
Черкаська,2006,20,8,12,174
Чернівецька,2006,7,4,3,63
Чернігівська,2006,29,–,29,68
Автономна Республіка Крим,2007,69,9,60,382
Вінницька,2007,4,0,4,102
Волинська,2007,4,0,4,76
Дніпропетровська,2007,611,151,460,1175
Донецька,2007,1438,837,601,1529
Житомирська,2007,12,2,10,109
Закарпатська,2007,12,1,11,42
Запорізька,2007,482,339,143,375
Івано-Франківська,2007,21,0,21,131
Київська,2007,32,5,27,170
Кіровоградська,2007,29,1,28,108
Луганська,2007,204,34,170,643
Львівська,2007,189,12,177,331
Миколаївська,2007,29,0,29,111
Одеська,2007,191,52,139,281
Полтавська,2007,7,–,7,160
Рівненська,2007,15,2,13,116
Сумська,2007,25,0,25,141
Тернопільська,2007,3,1,2,54
Харківська,2007,19,10,9,514
Херсонська,2007,11,10,1,97
Хмельницька,2007,4,0,4,90
Черкаська,2007,13,5,8,172
Чернівецька,2007,8,5,3,62
Чернігівська,2007,27,–,27,74
Автономна Республіка Крим,2008,71,13,,270
Вінницька,2008,2,0,,95
Волинська,2008,4,1,,76
Дніпропетровська,2008,613,142,,931
Донецька,2008,615,65,,1577
Житомирська,2008,8,1,,108
Закарпатська,2008,12,1,,41
Запорізька,2008,378,246,,412
Івано-Франківська,2008,19,0,,131
Київська,2008,30,4,,171
Кіровоградська,2008,30,0,,104
Луганська,2008,147,31,,629
Львівська,2008,60,6,,355
Миколаївська,2008,28,0,,118
Одеська,2008,188,45,,293
Полтавська,2008,7,–,,156
Рівненська,2008,28,14,,122
Сумська,2008,23,0,,141
Тернопільська,2008,3,1,,54
Харківська,2008,16,8,,514
Херсонська,2008,2,1,,97
Хмельницька,2008,3,0,,98
Черкаська,2008,11,4,,165
Чернівецька,2008,11,5,,63
Чернігівська,2008,26,–,,74
Автономна Республіка Крим,2009,68,15,53,295
Вінницька,2009,2,0,2,98
Волинська,2009,4,1,3,78
Дніпропетровська,2009,522,124,398,970
Донецька,2009,531,17,514,1570
Житомирська,2009,6,0,6,108
Закарпатська,2009,11,1,10,41
Запорізька,2009,83,15,68,418
Івано-Франківська,2009,17,0,17,133
Київська,2009,29,3,26,168
Кіровоградська,2009,33,0,33,106
Луганська,2009,100,23,77,641
Львівська,2009,59,4,55,331
Миколаївська,2009,28,0,28,118
Одеська,2009,135,44,91,306
Полтавська,2009,5,–,5,150
Рівненська,2009,24,2,22,121
Сумська,2009,22,0,22,138
Тернопільська,2009,2,1,1,53
Харківська,2009,14,7,7,513
Херсонська,2009,1,0,1,99
Хмельницька,2009,3,0,3,98
Черкаська,2009,12,4,8,169
Чернівецька,2009,10,6,4,62
Чернігівська,2009,22,–,22,74
Автономна Республіка Крим,2010,96,43,53,291
Вінницька,2010,2,–,2,97
Волинська,2010,4,1,3,78
Дніпропетровська,2010,504,133,371,983
Донецька,2010,550,17,533,1511
Житомирська,2010,6,0,6,104
Закарпатська,2010,8,1,7,42
Запорізька,2010,73,4,69,410
Івано-Франківська,2010,15,0,15,132
Київська,2010,14,0,14,164
Кіровоградська,2010,24,0,24,69
Луганська,2010,96,26,70,636
Львівська,2010,59,2,57,330
Миколаївська,2010,29,–,29,117
Одеська,2010,145,56,89,279
Полтавська,2010,5,–,5,148
Рівненська,2010,10,1,9,122
Сумська,2010,20,0,20,139
Тернопільська,2010,2,1,1,51
Харківська,2010,14,7,7,512
Херсонська,2010,2,2,0,99
Хмельницька,2010,2,0,2,98
Черкаська,2010,11,4,7,144
Чернівецька,2010,7,5,2,63
Чернігівська,2010,19,–,19,74
Автономна Республіка Крим,2011,98,46,52,292
Вінницька,2011,2,0,2,102
Волинська,2011,1,1,0,79
Дніпропетровська,2011,472,138,334,974
Донецька,2011,554,13,541,1656
Житомирська,2011,3,0,3,105
Закарпатська,2011,3,0,3,41
Запорізька,2011,70,1,69,408
Івано-Франківська,2011,5,0,5,134
Київська,2011,5,0,5,174
Кіровоградська,2011,7,0,7,88
Луганська,2011,87,24,63,689
Львівська,2011,53,2,51,331
Миколаївська,2011,26,0,26,111
Одеська,2011,117,57,60,279
Полтавська,2011,4,–,4,147
Рівненська,2011,20,1,19,127
Сумська,2011,7,0,7,140
Тернопільська,2011,3,1,2,51
Харківська,2011,14,6,8,510
Херсонська,2011,7,6,1,99
Хмельницька,2011,1,0,1,103
Черкаська,2011,8,2,6,155
Чернівецька,2011,5,4,1,99
Чернігівська,2011,17,–,17,67
Автономна Республіка Крим,2012,97,51,46,288
Вінницька,2012,1,0,1,103
Волинська,2012,1,1,0,78
Дніпропетровська,2012,383,132,251,954
Донецька,2012,558,12,546,1539
Житомирська,2012,3,0,3,106
Закарпатська,2012,2,0,2,43
Запорізька,2012,71,2,69,407
Івано-Франківська,2012,1,0,1,132
Київська,2012,4,0,4,169
Кіровоградська,2012,5,0,5,83
Луганська,2012,101,6,95,722
Львівська,2012,44,2,42,332
Миколаївська,2012,26,–,26,114
Одеська,2012,103,46,57,280
Полтавська,2012,4,–,4,147
Рівненська,2012,8,0,8,122
Сумська,2012,22,0,22,139
Тернопільська,2012,3,1,2,51
